OfficialNameSuburb,Latitude,Longitude,TemperatureMean,TemperatureMax,TemperatureMin,RainSum,RelativeHumidityMean,RelativeHumidityMax,RelativeHumidityMin
Albury Region,-36.07369799,146.91346780765934,13.85561287671233,19.408369678630137,9.005904199780822,942.1000028,72.90650766575342,89.01954429041096,52.170190142465756
Alcomie,-40.94201428,145.21259128605476,12.949267291780822,16.580054873972603,9.944027581643835,946.5000056,78.88538649863014,93.35721476986302,60.58152636986301
Aldavilla,-31.07410859,152.76218677914693,17.829347260273973,24.010157695890413,13.36152758931507,814.4000051,73.04676901917809,90.26087338,46.81535498219178
Alderley,-27.42536753,153.00088933876043,20.345695605479452,26.780096147945205,15.565301430958904,747.5000011,71.16445480821918,90.90099098356164,43.11674838630137
Aldershot,-25.47451331,152.6600917115611,21.053394865753422,26.968657594520547,16.714821869863016,805.7000075,72.01577444109589,90.83092063,45.98616453698631
Aldersyde,-32.31510692,117.26898692105956,17.98131966958904,24.69723263561644,12.011205541178082,271.1000007,59.18679395068493,82.47411465753424,35.615313275342466
Aldgate,-35.0169388,138.73989608422812,14.131140242191782,19.384890079452052,10.17913697369863,482.9999994,70.76040426849315,88.55053276986301,49.48875533561644
Aldinga,-35.27061013,138.4835858195951,14.876408763013698,19.609376673972605,11.311568770684932,1002.600002,71.93505802465754,88.07088969863014,53.52056223287671
Aldinga Beach,-35.29326085,138.45867294922013,14.876408763013698,19.609376673972605,11.311568770684932,1002.600002,71.93505802465754,88.07088969863014,53.52056223287671
Aldoga,-23.83601445,151.0611166185897,21.734284224657536,27.394575473972605,17.50210958630137,719.1999988,71.91562196712329,90.04113679999999,45.71091444109589
Alectown,-32.91425516,148.26802074020546,16.993983116986303,22.67143157260274,12.094445278575341,481.6999993,61.01623432328767,79.84622289863013,40.647730824657536
Alexander Heights,-31.8275424,115.86500694810978,18.611313689041094,24.68312331780822,13.437643656164385,477.7999995,62.90850515616439,81.62687079999999,41.77511606575343
Alexandra (Qld),-21.16078426,149.09365751227318,22.39924157808219,27.289903887671233,18.7045614,1717.400004,77.67631168219178,93.87784757260273,54.63361352054795
Alexandra,-37.19808416,145.7367493093471,13.390185818356164,19.098547695890414,8.638821753063015,1005.200002,77.76418241095891,94.76259490410959,54.368817298630134
Alexandra Bridge,-34.16498472,115.20045088215208,16.506935298630136,20.658664610958905,13.000582532054796,658.300003,71.60133074246576,87.33473403287671,53.432656873972604
Alexandra Headland,-26.67074202,153.10403075122258,20.23401325479452,26.23106226849315,15.822294876712329,1039.500006,74.39321373424657,92.28349419178083,48.35856480273973
Alexandra Hills,-27.5324859,153.22895860910117,21.281462495890413,24.52274674,18.436445446849316,800.2000019,69.92636819,84.13910958630137,52.72419411506849
Alexandria,-33.90984917,151.19287794516012,12.515928337260274,17.95002079671233,7.7296097411835625,1046.900004,77.83574396712328,97.07875002739725,52.91675949315068
Alford,-33.81679624,137.84494821771838,17.43237908219178,22.404547942465754,13.141671232328768,405.7000017,63.22120204383561,81.20620147123287,43.780078908219174
Alfords Point,-33.98665548,151.02415208137506,12.515928337260274,17.95002079671233,7.7296097411835625,1046.900004,77.83574396712328,97.07875002739725,52.91675949315068
Alfred Cove,-32.03264057,115.81727512255608,18.611313689041094,24.68312331780822,13.437643656164385,477.7999995,62.90850515616439,81.62687079999999,41.77511606575343
Alfredton,-37.55603057,143.80076737473811,11.794398419452055,16.490739943013697,8.233753302821919,677.9000058,78.26607036986302,94.54862282739725,56.02525334520548
Alfredtown,-35.15320066,147.54143425897382,15.595849498356163,21.42143148767123,10.420061653934246,723.8000002,69.43399712876713,87.45385644931507,47.70789628493151
Algester,-27.61272718,153.03245169759984,20.345695605479452,26.780096147945205,15.565301430958904,747.5000011,71.16445480821918,90.90099098356164,43.11674838630137
Ali Curung,-21.01985472,134.32485912640783,24.63215116712329,31.211123273972603,18.051397709589043,418.1999992,38.216190865479454,54.25287381095891,23.879792550136987
Alice,-29.05335991,152.58971730972056,18.67996199178082,25.990116383561645,13.195321662465753,782.3999996,72.61715156164384,93.28704284657535,42.47864331917808
Alice Creek,-26.75925298,151.62344574284327,16.609585793424657,22.601007017808218,12.145527546027397,620.9000037,70.27186489315068,91.94519538356164,43.38634417260274
Alice River,-19.3455049,146.6204247348633,20.999749783561644,26.072540887671234,17.66171900630137,1421.800003,79.22354979726028,94.74658640821917,53.972589213698626
Alice Springs,-23.6984598,133.88091875191145,21.95627454,28.457889879452058,15.444054602465753,417.1000062,38.35239447260274,55.87537455,23.247931377534247
Alison (Central Coast - NSW),-33.26792764,151.39860977553673,18.070661204109587,24.329685152054797,13.303657533698631,749.2999989,72.4638353,91.68802896986303,45.56533624657535
Alison (Dungog - NSW),-32.42856815,151.77248277418312,17.96172015753425,24.940458816438355,12.473883624958905,552.3999997,67.42809704657533,88.80340645205479,39.57011908767124
Alkimos,-31.61436461,115.68632085429633,18.866778632054796,25.354164589041098,13.679643830136985,433.2,62.470644901369866,82.65860722465753,39.82917660821918
Allambee,-38.29284055,146.0216966455927,12.572464718630137,18.43143171150685,8.278143901972603,741.099999,73.70954305479452,92.09292822739727,46.034125983561644
